ind  dTS  dFNET CESS_fsnt CESS_flnt CESS_fnet 
ind113 2.095 -3.618 2.72773 0.47768 0.57909
ind114 2.072 -4.560 60.57216 0.45096 0.45434
ind115 2.050 -4.231 -2.49482 0.60117 0.48443
ind116 2.155 -4.194 9.77173 0.48814 0.51381
ind117 2.080 -4.527 -2.11273 0.58731 0.45956
ind118 2.059 -4.730 -1.56141 0.60342 0.43523
ind119 2.116 -4.186 5.15184 0.46029 0.50545
ind120 2.118 -4.717 -2.51148 0.54665 0.44894
ind121 2.087 -4.190 2.14967 0.40446 0.49819
ind122 2.017 -4.365 -2.00228 0.60076 0.46211
ind123 2.064 -3.886 3.87523 0.46716 0.53120
ind124 2.047 -3.815 12.74618 0.51480 0.53647
ind125 2.079 -4.314 -2.38111 0.60425 0.48195
ind126 2.028 -4.041 -7.09397 0.54013 0.50191
ind127 2.039 -3.423 3.34848 0.50564 0.59557
ind128 2.135 -3.665 2.26153 0.46320 0.58251
ind129 2.103 -4.038 15.73768 0.50418 0.52087
ind130 2.161 -3.898 28.56727 0.54385 0.55440
ind131 2.095 -3.652 4.55200 0.50936 0.57354
ind132 2.118 -4.024 2.79486 0.44294 0.52636
ind133 2.116 -3.999 6.84512 0.49103 0.52898
ind134 2.100 -3.864 2.34809 0.44132 0.54346
ind135 2.124 -4.775 17.50564 0.43371 0.44473
ind136 2.042 -4.722 -2.08899 0.54531 0.43243
ind137 2.027 -4.564 -2.79398 0.52802 0.44409
ind138 2.104 -3.858 2.39903 0.44443 0.54548
ind139 2.130 -4.234 5.82470 0.46316 0.50317
ind140 2.062 -3.922 3.04528 0.44830 0.52569
ind141 2.098 -4.229 3.40052 0.43287 0.49601
ind142 2.054 -3.942 -8.44750 0.55524 0.52099
ind143 2.099 -3.605 2.37591 0.46760 0.58218
ind144 2.119 -4.364 3.11549 0.42003 0.48548
ind145 2.067 -3.616 1.82090 0.43502 0.57156
ind146 2.072 -3.820 4.02738 0.47809 0.54249
ind147 2.083 -4.038 7.52654 0.48274 0.51583
ind148 2.120 -3.980 2.75196 0.44628 0.53266
ind149 2.104 -4.417 74.91600 0.47336 0.47637
ind150 2.050 -5.005 -1.53114 0.55909 0.40955
ind151 2.042 -4.102 -3.85013 0.57155 0.49767
ind152 2.031 -4.916 -1.46483 0.57539 0.41312
ind153 2.125 -3.914 2.31658 0.43977 0.54282
ind154 2.097 -4.422 7.02276 0.44422 0.47421
ind155 2.112 -3.663 1.71803 0.43166 0.57650
ind156 2.110 -4.284 3.00901 0.42330 0.49260
ind157 2.082 -4.510 6.61810 0.43148 0.46157
ind158 2.091 -4.614 -2.35229 0.56131 0.45317
ind159 1.990 -4.383 -2.31377 0.56478 0.45397
ind160 2.107 -4.244 5.25772 0.45362 0.49645
ind161 2.084 -4.272 -4.60394 0.54556 0.48776
ind162 2.082 -3.531 2.30686 0.46963 0.58967
ind163 2.106 -4.097 3.30674 0.44486 0.51401
ind164 2.087 -3.452 2.68996 0.49365 0.60461
ind165 2.070 -3.660 2.26366 0.45257 0.56566
ind166 2.032 -4.831 -1.36503 0.60809 0.42068
ind167 2.108 -4.399 -4.53534 0.53593 0.47929
ind168 2.086 -4.172 -8.88667 0.52995 0.50012
ind169 2.132 -3.898 3.46697 0.47245 0.54699
ind170 2.117 -3.998 -16.14643 0.54756 0.52960
ind171 2.063 -4.263 2.91315 0.41502 0.48396
ind172 2.143 -4.535 6.28583 0.43953 0.47257
ind173 2.133 -4.067 2.79349 0.44152 0.52440
ind174 2.168 -3.999 2.38793 0.44177 0.54205
